,CPI,GDP,INFL,LGDP,LGDP_GAP,MPR,RER,RER_GAP
,,,,,,,,
1993Q1,85.10000,729128.0,NA,13.49960,-0.002062,5.980000,97.41000,4.104962
1993Q2,85.40000,739668.0,NA,13.51396,0.000188,4.540000,95.27000,2.521101
1993Q3,85.70000,744268.0,NA,13.52016,-0.005713,4.230000,93.41000,1.214675
1993Q4,86.10000,753308.0,NA,13.53223,-0.005739,4.270000,92.41000,0.761541
1994Q1,85.50000,766924.0,0.470035,13.55014,8.37E-05,3.840000,91.54000,0.426801
1994Q2,85.30000,777788.0,-0.117096,13.56421,0.002074,5.660000,87.75000,-2.844924
1994Q3,85.80000,795948.0,0.116686,13.58729,0.013102,5.320000,86.96000,-3.139275
1994Q4,86.10000,805676.0,0.000000,13.59944,0.013229,5.190000,87.06000,-2.570118
1995Q1,86.90000,818704.0,1.637427,13.61548,0.017278,7.500000,84.83000,-4.359357
1995Q2,87.60000,823456.0,2.696366,13.62127,0.011094,7.730000,84.81000,-3.967287
1995Q3,87.80000,827748.0,2.331002,13.62646,0.004321,6.470000,87.24000,-1.151481
1995Q4,87.90000,834948.0,2.090592,13.63512,0.000983,6.030000,88.37000,0.342968
1996Q1,88.20000,838724.0,1.495972,13.63964,-0.006562,5.350000,88.05000,0.371688
1996Q2,88.80000,846468.0,1.369863,13.64883,-0.009515,4.800000,88.64000,1.300091
1996Q3,89.00000,859988.0,1.366743,13.66467,-0.005928,4.290000,88.18000,1.173358
1996Q4,89.70000,874208.0,2.047782,13.68107,-0.001921,3.220000,89.76000,3.085856
1997Q1,90.10000,885828.0,2.154195,13.69428,-0.001261,3.000000,90.19000,3.851221
1997Q2,90.20000,893424.0,1.576577,13.70282,-0.005434,3.010000,88.66000,2.661157
1997Q3,90.50000,906964.0,1.685393,13.71786,-0.003287,3.250000,89.07000,3.414965
1997Q4,90.60000,919288.0,1.003344,13.73135,-0.002877,3.700000,87.65000,2.340279
1998Q1,91.10000,929972.0,1.109878,13.74291,-0.004611,4.590000,86.87000,1.902601
